sample,time,BNL2,PNL2,BNL3,PNL3,BNL5,PNL5,BPL2,PPL2,BPL4,PPL4,BPL5,PPL5
1,2,9599786,2102120.51,22353787.4,2362909.9,23186421.9,2299688.2,42190079.9,2102120.5,31571541.1,2299688.2,9874065.6,1841331.1
2,4,6576179.93,32876397.01,47166295.5,26620838.6,9103470.5,31735020.1,24645981.2,24957882.9,16019234.7,68943230.4,9854474.2,24537910.4
3,7,7826764.3,90504453.89,4597448.5,99152651.4,16894317.3,80533869.8,20747292.6,130218199.2,8607155.1,127794701.8,6452101.1,145083194.2
4,9,5740280.2,212132408.7,5890480.9,431590628.4,4022767.5,509424406.1,11794022.8,210947002.4,13883772.1,272817308.6,15261700.6,254601565.1
5,11,4678426.32,308949211,5505183.4,591334544.5,2217746.5,541202634.5,16801584.6,152723437.1,10661639.9,280294707.8,14192010.2,244581649
6,14,2777080.95,572397140.1,1399385.7,710579952.5,1834244.8,700895183,11723004,97120338.2,22341542.8,209437585.1,14749875.3,293204860.1
7,16,649781.43,573074216.3,621581.7,851690718.4,475091.5,789496401.2,12790735.3,71524452.6,17311450.8,224352959.9,9499380.1,274451193.6
8,18,1624686.81,439955081.1,484887.2,634056895.5,1309125.3,914930451.1,13250316.9,179847054.6,7395753.5,432924326.7,7706767,448543798
9,21,1310524.72,554770148.4,643017.7,860706580.1,706689.8,837591157.2,6776991.8,187085006.1,4900298.9,624531309.2,8870006.3,859404749.9
10,23,93339.03,365786749,479989.3,887928589,134481,963024078.1,7139106.2,134804404.4,2333825.5,307273118.4,14999665.6,383290667.6
11,25,218150.24,127846069.5,1103387.6,257440613.2,613602.6,347620397.5,5406472.9,104256484.1,1591189,370429752.3,16011071.7,496143339.7
12,28,619088.24,146960746,2445202.6,443253050.7,1036189.1,790991988.8,9073078.7,262389684.5,3503799.4,375554952.9,11588313.1,511493699.9
13,30,1031737.8,245734726,1149514,940323547.5,830128.6,1029347561,9327013.4,28540936.3,2706062.1,336673626.2,12114832,356807296.3
14,32,754004.15,307227677.8,569871.5,716400297.4,299166,890566118,6645252.2,659870094.7,2845650.9,606946262.6,8336140.7,507007393
15,35,587609.63,274303017.8,662533.5,719393448.3,291885.4,817811806.4,7767990.1,253093363.6,2691368.6,428843525.3,9207958,544283861.9
16,37,1419582.25,187797993.1,356930.8,461982470.3,199434.3,507798423.8,8361006.7,268084194,4465002.5,450746186.3,39650544.7,513919223.6
17,39,726205.54,137981293.3,439122.9,488654112,117089.2,559393233,3524191.5,176884172.8,879164.1,304089045.2,4525613.4,547808580.5
18,42,490049.75,217095309.8,444479.9,421008901.5,217648.2,615225869.7,2967343.6,43622951.8,468969.1,94030075.1,5492938.8,274726377.2
19,44,175263.61,100735827.4,300299.4,263089074.2,238923.2,355574473.7,2044852.4,34681601.5,403170.4,113762530.8,8086350.3,190748808
20,46,187551.82,131461558.7,868909.2,350382394.2,508305,448344370.8,2323417.6,101583080.9,1128546.3,239962709.2,4639896.6,473840766.9
21,49,290339.99,118105981,743248.7,310766115.6,1744093.8,294360092.4,2852385.4,147851360.5,423664,363992682.2,3307681.4,850706831.2
22,51,140028.28,40327522.33,1826898.1,173140444.2,1982061.9,360482055.8,4453370.1,160914953.9,330218.2,290059803.1,4713690.8,501090999.8
23,53,344858.87,28354918.7,2234399.2,136392848.9,938183.2,161642003.1,13357661.4,130457914.7,473396,339135623.9,7045067.4,449170203.8
24,56,397228.19,77898128.29,2329335.8,168818791.5,5210904.2,341380080,1214666.8,117434250.8,1770007.6,135336925.4,6669892.1,582212304.2
25,58,949203.33,287444093.4,7209023,127857923.5,10987714.2,74883809.4,2792754.1,191172167.4,1628535.1,92072200.8,5916602.8,470453891.7
26,60,1108016.12,109088990.4,9158979.5,117544888.7,14036258.5,83294549.3,1230339.9,183825784.4,482438.2,105224565.9,7262532,525194261.2
27,63,2469618.42,45430696.45,13918710.1,82929049.1,18726439.7,61008910.9,929367,97282343.7,297911.7,81457169.6,2751612.1,451054999.9
28,65,1496415.62,123570139.6,11583415.2,104695084.4,9395300.8,66636768.4,4874340.3,210900715.1,484887.2,115678720.5,6354470.6,189834351.8
29,67,1796951.2,123570139.6,8293284.5,74782203.2,7659012.9,66636768.4,3168909,210900715.1,1422580.5,115678720.5,2880915.4,189834351.8
30,70,953121.61,22488850.95,5735382.3,6282653.4,12110284,37170954.7,934020,360177237.1,524559.7,171612963.5,1673105.6,219113887.4
31,72,3387353.06,1422487.56,14102542.8,79896384.6,12060139.3,157659037.9,853858.5,162976431.9,1329521.4,118371286.2,1299889.4,198809570.9
32,74,3066054.1,1446195.69,17505895.5,70753938.5,19595318.3,107008320.1,1345509.4,77728784.5,2026730.3,173560416.7,499580.7,76475640.7
33,77,5031561.3,125257932.4,18093637.5,68501666.6,16934806.2,128413371,533559.5,213313863.7,2163380.3,208275886.9,713453.5,176610721.1
34,79,20585663.55,182048772.5,23209686.7,110851953,24616594.1,122604880.2,496642,149153747.7,3498534.3,78518349.8,627537,80089013.1
35,81,17061170.69,16704350.44,22727248.5,52024519,19110186.2,106618829.5,498181.3,160948540.4,3211823.4,160296566.9,592095.6,159807586.8
36,84,13887503.83,14150787.71,18848326.2,41150533,18375508.7,86206393.5,1378967.4,81403544.1,3471409.5,160852159.4,1239400.9,231679194.1
37,86,78199073.1,24577423.95,41768864.8,45243007.1,41119899.7,94792990.5,1354700.8,77723139.7,5967128,22463449.4,740663.8,233228689.5
38,88,69005808.65,3962643.92,50140923.1,66935942.4,54986529.3,87127363,1164129.9,155446279.5,9192914.6,291002429.1,560417.2,334067252.1
39,91,54571844.7,20380521.17,36276742.3,97183559.8,35542064.8,85191199.4,2080695.7,108543703.5,8808083.5,232798979.7,630533.7,492812912.5
40,93,44851245.07,38620537.25,35083299.5,76004300.6,34378009.1,88786931.9,823328.6,29160995,10273240.4,335865118.3,393297.4,442796669.3
41,95,43153323.73,46823548.85,28603444,84262631.2,19895066.7,177178728.3,846437.5,125574040.7,7877701.9,280842509.2,665862.7,183998765.9
42,98,84902597.13,127278767.9,40608074.4,160128634.4,61115372.3,143374892,922510,215230270.5,8863639.1,385454615.2,1513190.8,403887683.2
43,100,56521189,41082795.48,80035766.8,146476705.1,22059916.4,132805019.1,1080710.6,91276285.1,8028065.9,122926633.3,1137770.6,312097722
44,102,42957409.73,49194361.45,75270158.8,125155197.2,18063270.8,102798434.3,1160790.4,219110500.5,7745949.8,143031124.2,1900093.7,283051316.3
45,105,29772397.53,64762697.52,40012169.3,156070593.5,8688785.9,301282865.2,1555067.4,239778059.3,8715234.3,152917412.7,NaN,NaN
46,107,25116174.8,179391486.7,39770542,561906294.3,5113355.4,473451276.2,1644759.3,280230049.3,7262532,428791093.9,1000079.7,257648059.3
47,109,28877723.6,114095356.4,24959443.6,583901508.2,4809688.7,344330895,1280175.5,319704079.1,12442987.9,408965173.5,1032834.1,203089734.3
48,112,26696547.73,177858361.3,17273084.3,307583299.7,3484004,156710712.9,2053729.7,61700397.9,10805881.6,241763614.9,464377.4,130483598.5
49,114,28094067.6,169953394.7,19175082.8,240795533.1,5204781.9,110124245.3,2983840.2,166976331.4,NaN,NaN,1117254,88786931.9
50,117,53190651,291271262.3,29960148.4,536435864.3,11477295.2,208512968.2,5362096.2,233050878.6,37463654.6,210172537,2598581.5,101352238.7
51,119,37155090.1,156781837.2,22726024,276258938.2,7332081.5,166121521.8,5266658.1,113265572,29680971,186899060,1950784.8,123356343.1
52,121,24058239.2,129754573.6,13738469.2,237436881.9,18799580.9,207031210.3,5496612.2,287698109,22241136.9,163467528.8,1681921.7,161503141.2
53,125,23640289.33,222808968.2,9000289.2,222698330.2,11265055,137566401.1,10084673.2,70223469.2,25826363.1,149835356.3,1771389.1,86314513
54,129,23783959.6,84519469.19,9282405.3,184093598.4,7714113.8,171291210.3,7149636.5,83002149.1,22270523.9,50063659.4,1701186.6,73867746.9
55,131,20564439.53,97227024.73,18200410.6,163072393.3,11460969,128112785.9,11992385.7,99716378,26898992.2,70432891,2389497.8,112105567.2
56,135,39052190.67,86273870.51,14279681.7,214795621.6,9021839.7,151228208.7,5194169.9,156592172.2,33040896.1,200274394.4,2397660.8,193712323.8
57,144,27493264.67,130821439.3,14015197.8,392646080.1,18717623.6,310428274.8,34520046.8,174610348,28794460.1,333336251.6,5494081.6,242872816.5
58,146,18807744,181367163.9,14669060.8,214795621.6,16941663.1,294929087.4,153895344.8,187442371.2,52700866,745959250.2,10531077.2,392922674.9
59,149,17351449.93,157137459.1,11833205.6,261895765.2,37879971.9,378381691,46176929.8,237940679.6,14948238.2,378302663.9,10481399,573973730.5
