"day","microbe","lim","type","cID","abd"
-125,"Syn","N","Control","NL1",70773932.5
-124,"Syn","N","Control","NL1",38526488.1
-118,"Syn","N","Control","NL1",851344.287
-115,"Syn","N","Control","NL1",539841.027
-112,"Syn","N","Control","NL1",743493.63
-110,"Syn","N","Control","NL1",1441829.083
-108,"Syn","N","Control","NL1",1974078.4425
-105,"Syn","N","Control","NL1",28209983.3833333
-103,"Syn","N","Control","NL1",22618271.3
-101,"Syn","N","Control","NL1",26575734.1
-98,"Syn","N","Control","NL1",59156232.3
-96,"Syn","N","Control","NL1",99769204.5
-89,"Syn","N","Control","NL1",32864573.5
-74,"Syn","N","Control","NL1",21599518.5
-68,"Syn","N","Control","NL1",97124365.5
-62,"Syn","N","Control","NL1",196648677.5
-55,"Syn","N","Control","NL1",166330986
-48,"Syn","N","Control","NL1",159816845.5
-46,"Syn","N","Control","NL1",149629317.5
-45,"Syn","N","Control","NL1",123621734
-41,"Syn","N","Control","NL1",76896245
-39,"Syn","N","Control","NL1",109222055
-34,"Syn","N","Control","NL1",111768937
-32,"Syn","N","Control","NL1",27183067.5
-27,"Syn","N","Control","NL1",62839415.5
-24,"Syn","N","Control","NL1",138119370
-19,"Syn","N","Control","NL1",84634848
-17,"Syn","N","Control","NL1",91344902.5
-13,"Syn","N","Control","NL1",100797753
-11,"Syn","N","Control","NL1",41925596
-6,"Syn","N","Control","NL1",49786645.25
0,"Syn","N","Control","NL1",93622402.75
2,"Syn","N","Control","NL1",20448523.75
4,"Syn","N","Control","NL1",21746454
7,"Syn","N","Control","NL1",21868900.25
9,"Syn","N","Control","NL1",18053475.1
11,"Syn","N","Control","NL1",27604282.6
14,"Syn","N","Control","NL1",17305736.6666667
16,"Syn","N","Control","NL1",7751663.93333333
18,"Syn","N","Control","NL1",5557427.13333333
21,"Syn","N","Control","NL1",6752502.53333333
23,"Syn","N","Control","NL1",5211312.4
25,"Syn","N","Control","NL1",4264394.73333333
28,"Syn","N","Control","NL1",8587563.66666667
30,"Syn","N","Control","NL1",9906717.93333333
32,"Syn","N","Control","NL1",36231029.0666667
35,"Syn","N","Control","NL1",10370381.0666667
37,"Syn","N","Control","NL1",15104969.4
39,"Syn","N","Control","NL1",14249478.2666667
42,"Syn","N","Control","NL1",17880417.7333333
44,"Syn","N","Control","NL1",24450067.2
46,"Syn","N","Control","NL1",23352948.8
49,"Syn","N","Control","NL1",25436167.6666667
51,"Syn","N","Control","NL1",18415916
53,"Syn","N","Control","NL1",14478044.6
56,"Syn","N","Control","NL1",8372058.26666667
58,"Syn","N","Control","NL1",10050388.2
60,"Syn","N","Control","NL1",13385824.05
63,"Syn","N","Control","NL1",8047167.55
65,"Syn","N","Control","NL1",16189026.8666667
67,"Syn","N","Control","NL1",5069274.75
70,"Syn","N","Control","NL1",10530377.5
72,"Syn","N","Control","NL1",14384985.45
74,"Syn","N","Control","NL1",13273173.5
77,"Syn","N","Control","NL1",15851891.525
79,"Syn","N","Control","NL1",11801369.575
81,"Syn","N","Control","NL1",13525412.775
84,"Syn","N","Control","NL1",14610286.55
86,"Syn","N","Control","NL1",14056829.5
88,"Syn","N","Control","NL1",16057601.225
91,"Syn","N","Control","NL1",7870844.95
93,"Syn","N","Control","NL1",8318508.44
95,"Syn","N","Control","NL1",9141347.24
98,"Syn","N","Control","NL1",8428220.28
100,"Syn","N","Control","NL1",8216633.16
102,"Syn","N","Control","NL1",8818089.14
105,"Syn","N","Control","NL1",7809132.04
107,"Syn","N","Control","NL1",9972022.6
109,"Syn","N","Control","NL1",13273173.5
112,"Syn","N","Control","NL1",11202362.52
114,"Syn","N","Control","NL1",11764635.7
117,"Syn","N","Control","NL1",6724748.05
119,"Syn","N","Control","NL1",9343138.66
121,"Syn","N","Control","NL1",8404710.6
125,"Syn","N","Control","NL1",8046187.98
129,"Syn","N","Control","NL1",15443900.62
131,"Syn","N","Control","NL1",7883089.575
135,"Syn","N","Control","NL1",18707338.075
144,"Syn","N","Control","NL1",11524641.05
146,"Syn","N","Control","NL1",9347546.725
149,"Syn","N","Control","NL1",10586702.775
156,"Syn","N","Control","NL1",21106672.34375
158,"Syn","N","Control","NL1",2234644.0625
160,"Syn","N","Control","NL1",10770168.0729167
166,"Syn","N","Control","NL1",22299911.05
-125,"Syn","N","Infect","NL2",84272407.1
-124,"Syn","N","Infect","NL2",41994165.9
-118,"Syn","N","Infect","NL2",3367075.961
-115,"Syn","N","Infect","NL2",2042036.11125
-112,"Syn","N","Infect","NL2",1505435.82833333
-110,"Syn","N","Infect","NL2",2084688.22166667
-108,"Syn","N","Infect","NL2",2251664.09125
-105,"Syn","N","Infect","NL2",30143001.5166667
-103,"Syn","N","Infect","NL2",16865746.475
-101,"Syn","N","Infect","NL2",122730325.3
-98,"Syn","N","Infect","NL2",64945491
-96,"Syn","N","Infect","NL2",93597913.5
-89,"Syn","N","Infect","NL2",177547062.5
-74,"Syn","N","Infect","NL2",8110839.6
-68,"Syn","N","Infect","NL2",53347382.2
-62,"Syn","N","Infect","NL2",118332056
-55,"Syn","N","Infect","NL2",106479259
-48,"Syn","N","Infect","NL2",120683024
-46,"Syn","N","Infect","NL2",193220182.5
-45,"Syn","N","Infect","NL2",170494158.5
-41,"Syn","N","Infect","NL2",121417701.5
-39,"Syn","N","Infect","NL2",79492105.5
-34,"Syn","N","Infect","NL2",101532430.5
-32,"Syn","N","Infect","NL2",84291998.5
-27,"Syn","N","Infect","NL2",201938355.5
-24,"Syn","N","Infect","NL2",59361942
-19,"Syn","N","Infect","NL2",115295389
-17,"Syn","N","Infect","NL2",34382907
-13,"Syn","N","Infect","NL2",67688287
-11,"Syn","N","Infect","NL2",32717638
-6,"Syn","N","Infect","NL2",42390891.75
0,"Syn","N","Infect","NL2",17215942.75
2,"Syn","N","Infect","NL2",9599786
4,"Syn","N","Infect","NL2",6576179.93333333
7,"Syn","N","Infect","NL2",7826764.3
9,"Syn","N","Infect","NL2",5740280.2
11,"Syn","N","Infect","NL2",4678426.32
14,"Syn","N","Infect","NL2",2777080.95
16,"Syn","N","Infect","NL2",649781.433333333
18,"Syn","N","Infect","NL2",1624686.81428571
21,"Syn","N","Infect","NL2",1310524.72142857
23,"Syn","N","Infect","NL2",93339.0271428572
25,"Syn","N","Infect","NL2",218150.239
28,"Syn","N","Infect","NL2",619088.24
30,"Syn","N","Infect","NL2",1031737.79767442
32,"Syn","N","Infect","NL2",754004.151351352
35,"Syn","N","Infect","NL2",587609.625675676
37,"Syn","N","Infect","NL2",1419582.25405405
39,"Syn","N","Infect","NL2",726205.543243243
42,"Syn","N","Infect","NL2",490049.748648649
44,"Syn","N","Infect","NL2",175263.605405405
46,"Syn","N","Infect","NL2",187551.817073171
49,"Syn","N","Infect","NL2",290339.991860465
51,"Syn","N","Infect","NL2",140028.275641026
53,"Syn","N","Infect","NL2",344858.874358974
56,"Syn","N","Infect","NL2",397228.193589744
58,"Syn","N","Infect","NL2",949203.33
60,"Syn","N","Infect","NL2",1108016.11625
63,"Syn","N","Infect","NL2",2469618.41625
65,"Syn","N","Infect","NL2",1496415.62125
67,"Syn","N","Infect","NL2",1796951.19571429
70,"Syn","N","Infect","NL2",953121.61
72,"Syn","N","Infect","NL2",3387353.06
74,"Syn","N","Infect","NL2",3066054.1
77,"Syn","N","Infect","NL2",5031561.305
79,"Syn","N","Infect","NL2",20585663.55
81,"Syn","N","Infect","NL2",17061170.69
84,"Syn","N","Infect","NL2",13887503.8285714
86,"Syn","N","Infect","NL2",78199073.1
88,"Syn","N","Infect","NL2",69005808.65
91,"Syn","N","Infect","NL2",54571844.7
93,"Syn","N","Infect","NL2",44851245.0666667
95,"Syn","N","Infect","NL2",43153323.7333333
98,"Syn","N","Infect","NL2",84902597.1333333
100,"Syn","N","Infect","NL2",56521189
102,"Syn","N","Infect","NL2",42957409.7333333
105,"Syn","N","Infect","NL2",29772397.5333333
107,"Syn","N","Infect","NL2",25116174.8
109,"Syn","N","Infect","NL2",28877723.6
112,"Syn","N","Infect","NL2",26696547.7333333
114,"Syn","N","Infect","NL2",28094067.6
117,"Syn","N","Infect","NL2",53190651
119,"Syn","N","Infect","NL2",37155090.1
121,"Syn","N","Infect","NL2",24058239.2
125,"Syn","N","Infect","NL2",23640289.3333333
129,"Syn","N","Infect","NL2",23783959.6
131,"Syn","N","Infect","NL2",20564439.5333333
135,"Syn","N","Infect","NL2",39052190.6666667
144,"Syn","N","Infect","NL2",27493264.6666667
146,"Syn","N","Infect","NL2",18807744
149,"Syn","N","Infect","NL2",17351449.9333333
156,"Syn","N","Infect","NL2",33006066.9444444
158,"Syn","N","Infect","NL2",12884066.5277778
160,"Syn","N","Infect","NL2",24040280.4166667
166,"Syn","N","Infect","NL2",20629744.2
-125,"Phage","N","Infect","NL2",NA
-124,"Phage","N","Infect","NL2",NA
-118,"Phage","N","Infect","NL2",NA
-115,"Phage","N","Infect","NL2",NA
-112,"Phage","N","Infect","NL2",NA
-110,"Phage","N","Infect","NL2",NA
-108,"Phage","N","Infect","NL2",NA
-105,"Phage","N","Infect","NL2",NA
-103,"Phage","N","Infect","NL2",NA
-101,"Phage","N","Infect","NL2",NA
-98,"Phage","N","Infect","NL2",NA
-96,"Phage","N","Infect","NL2",NA
-89,"Phage","N","Infect","NL2",NA
-74,"Phage","N","Infect","NL2",NA
-68,"Phage","N","Infect","NL2",NA
-62,"Phage","N","Infect","NL2",NA
-55,"Phage","N","Infect","NL2",NA
-48,"Phage","N","Infect","NL2",NA
-46,"Phage","N","Infect","NL2",NA
-45,"Phage","N","Infect","NL2",NA
-41,"Phage","N","Infect","NL2",NA
-39,"Phage","N","Infect","NL2",NA
-34,"Phage","N","Infect","NL2",NA
-32,"Phage","N","Infect","NL2",NA
-27,"Phage","N","Infect","NL2",NA
-24,"Phage","N","Infect","NL2",NA
-19,"Phage","N","Infect","NL2",NA
-17,"Phage","N","Infect","NL2",NA
-13,"Phage","N","Infect","NL2",NA
-11,"Phage","N","Infect","NL2",NA
-6,"Phage","N","Infect","NL2",NA
0,"Phage","N","Infect","NL2",NA
2,"Phage","N","Infect","NL2",2102120.50533333
4,"Phage","N","Infect","NL2",32876397.0117143
7,"Phage","N","Infect","NL2",90504453.8868889
9,"Phage","N","Infect","NL2",212132408.739333
11,"Phage","N","Infect","NL2",308949211.042727
14,"Phage","N","Infect","NL2",572397140.081
16,"Phage","N","Infect","NL2",573074216.267647
18,"Phage","N","Infect","NL2",439955081.057143
21,"Phage","N","Infect","NL2",554770148.4
23,"Phage","N","Infect","NL2",365786749.0225
25,"Phage","N","Infect","NL2",127846069.455
28,"Phage","N","Infect","NL2",146960746.0425
30,"Phage","N","Infect","NL2",245734725.99
32,"Phage","N","Infect","NL2",307227677.8025
35,"Phage","N","Infect","NL2",274303017.82
37,"Phage","N","Infect","NL2",187797993.0775
39,"Phage","N","Infect","NL2",137981293.32
42,"Phage","N","Infect","NL2",217095309.782
44,"Phage","N","Infect","NL2",100735827.374
46,"Phage","N","Infect","NL2",131461558.67
49,"Phage","N","Infect","NL2",118105981.023333
51,"Phage","N","Infect","NL2",40327522.326
53,"Phage","N","Infect","NL2",28354918.696
56,"Phage","N","Infect","NL2",77898128.2857143
58,"Phage","N","Infect","NL2",287444093.374286
60,"Phage","N","Infect","NL2",109088990.434667
63,"Phage","N","Infect","NL2",45430696.4475
65,"Phage","N","Infect","NL2",123570139.587143
67,"Phage","N","Infect","NL2",123570139.587143
70,"Phage","N","Infect","NL2",22488850.9485714
72,"Phage","N","Infect","NL2",1422487.56
74,"Phage","N","Infect","NL2",1446195.686
77,"Phage","N","Infect","NL2",125257932.366667
79,"Phage","N","Infect","NL2",182048772.5225
81,"Phage","N","Infect","NL2",16704350.4441667
84,"Phage","N","Infect","NL2",14150787.70625
86,"Phage","N","Infect","NL2",24577423.9533333
88,"Phage","N","Infect","NL2",3962643.91714286
91,"Phage","N","Infect","NL2",20380521.1721429
93,"Phage","N","Infect","NL2",38620537.254
95,"Phage","N","Infect","NL2",46823548.85
98,"Phage","N","Infect","NL2",127278767.868571
100,"Phage","N","Infect","NL2",41082795.4828572
102,"Phage","N","Infect","NL2",49194361.45
105,"Phage","N","Infect","NL2",64762697.5233333
107,"Phage","N","Infect","NL2",179391486.733333
109,"Phage","N","Infect","NL2",114095356.375
112,"Phage","N","Infect","NL2",177858361.252
114,"Phage","N","Infect","NL2",169953394.668571
117,"Phage","N","Infect","NL2",291271262.285714
119,"Phage","N","Infect","NL2",156781837.238
121,"Phage","N","Infect","NL2",129754573.598
125,"Phage","N","Infect","NL2",222808968.148
129,"Phage","N","Infect","NL2",84519469.19
131,"Phage","N","Infect","NL2",97227024.726
135,"Phage","N","Infect","NL2",86273870.514
144,"Phage","N","Infect","NL2",130821439.268
146,"Phage","N","Infect","NL2",181367163.9
149,"Phage","N","Infect","NL2",157137459.128
156,"Phage","N","Infect","NL2",NA
158,"Phage","N","Infect","NL2",NA
160,"Phage","N","Infect","NL2",NA
166,"Phage","N","Infect","NL2",NA
-125,"Syn","N","Infect","NL3",137071230.1
-124,"Syn","N","Infect","NL3",47430779.4
-118,"Syn","N","Infect","NL3",1803584.284
-115,"Syn","N","Infect","NL3",1229850.135
-112,"Syn","N","Infect","NL3",2348845.59833333
-110,"Syn","N","Infect","NL3",3536002.8075
-108,"Syn","N","Infect","NL3",15877850.13
-105,"Syn","N","Infect","NL3",66855652.5
-103,"Syn","N","Infect","NL3",76288911.6
-101,"Syn","N","Infect","NL3",205983979.6
-98,"Syn","N","Infect","NL3",217131486.2
-96,"Syn","N","Infect","NL3",157661791.5
-89,"Syn","N","Infect","NL3",114560711.5
-74,"Syn","N","Infect","NL3",105695603
-68,"Syn","N","Infect","NL3",234704972
-62,"Syn","N","Infect","NL3",138854047.5
-55,"Syn","N","Infect","NL3",209481044.5
-48,"Syn","N","Infect","NL3",206444377.5
-46,"Syn","N","Infect","NL3",70529040
-45,"Syn","N","Infect","NL3",153008834
-41,"Syn","N","Infect","NL3",39721563.5
-39,"Syn","N","Infect","NL3",101434473.5
-34,"Syn","N","Infect","NL3",117401464.5
-32,"Syn","N","Infect","NL3",125091089
-27,"Syn","N","Infect","NL3",192779376
-24,"Syn","N","Infect","NL3",57892587
-19,"Syn","N","Infect","NL3",253218845
-17,"Syn","N","Infect","NL3",168339104.5
-13,"Syn","N","Infect","NL3",113532163
-11,"Syn","N","Infect","NL3",88455171
-6,"Syn","N","Infect","NL3",81083906.75
0,"Syn","N","Infect","NL3",29485057
2,"Syn","N","Infect","NL3",22353787.4
4,"Syn","N","Infect","NL3",47166295.5
7,"Syn","N","Infect","NL3",4597448.53333333
9,"Syn","N","Infect","NL3",5890480.93333333
11,"Syn","N","Infect","NL3",5505183.4
14,"Syn","N","Infect","NL3",1399385.71428571
16,"Syn","N","Infect","NL3",621581.690909091
18,"Syn","N","Infect","NL3",484887.15
21,"Syn","N","Infect","NL3",643017.735714286
23,"Syn","N","Infect","NL3",479989.3
25,"Syn","N","Infect","NL3",1103387.648
28,"Syn","N","Infect","NL3",2445202.634
30,"Syn","N","Infect","NL3",1149514.00465116
32,"Syn","N","Infect","NL3",569871.466216216
35,"Syn","N","Infect","NL3",662533.493243243
37,"Syn","N","Infect","NL3",356930.81875
39,"Syn","N","Infect","NL3",439122.8640625
42,"Syn","N","Infect","NL3",444479.8875
44,"Syn","N","Infect","NL3",300299.428125
46,"Syn","N","Infect","NL3",868909.2015625
49,"Syn","N","Infect","NL3",743248.7375
51,"Syn","N","Infect","NL3",1826898.05
53,"Syn","N","Infect","NL3",2234399.17
56,"Syn","N","Infect","NL3",2329335.82916667
58,"Syn","N","Infect","NL3",7209022.96875
60,"Syn","N","Infect","NL3",9158979.5
63,"Syn","N","Infect","NL3",13918710.13
65,"Syn","N","Infect","NL3",11583415.25
67,"Syn","N","Infect","NL3",8293284.5125
70,"Syn","N","Infect","NL3",5735382.35
72,"Syn","N","Infect","NL3",14102542.7666667
74,"Syn","N","Infect","NL3",17505895.47
77,"Syn","N","Infect","NL3",18093637.47
79,"Syn","N","Infect","NL3",23209686.6875
81,"Syn","N","Infect","NL3",22727248.4625
84,"Syn","N","Infect","NL3",18848326.1857143
86,"Syn","N","Infect","NL3",41768864.8
88,"Syn","N","Infect","NL3",50140923.0666667
91,"Syn","N","Infect","NL3",36276742.3333333
93,"Syn","N","Infect","NL3",35083299.55
95,"Syn","N","Infect","NL3",28603444
98,"Syn","N","Infect","NL3",40608074.35
100,"Syn","N","Infect","NL3",80035766.85
102,"Syn","N","Infect","NL3",75270158.8
105,"Syn","N","Infect","NL3",40012169.2666667
107,"Syn","N","Infect","NL3",39770542
109,"Syn","N","Infect","NL3",24959443.6
112,"Syn","N","Infect","NL3",17273084.3333333
114,"Syn","N","Infect","NL3",19175082.75
117,"Syn","N","Infect","NL3",29960148.45
119,"Syn","N","Infect","NL3",22726024
121,"Syn","N","Infect","NL3",13738469.25
125,"Syn","N","Infect","NL3",9000289.16
129,"Syn","N","Infect","NL3",9282405.32
131,"Syn","N","Infect","NL3",18200410.6
135,"Syn","N","Infect","NL3",14279681.675
144,"Syn","N","Infect","NL3",14015197.775
146,"Syn","N","Infect","NL3",14669060.75
149,"Syn","N","Infect","NL3",11833205.6
156,"Syn","N","Infect","NL3",6918213.125
158,"Syn","N","Infect","NL3",12691043.6197917
160,"Syn","N","Infect","NL3",15935869.2447917
166,"Syn","N","Infect","NL3",17710625.6
-125,"Phage","N","Infect","NL3",NA
-124,"Phage","N","Infect","NL3",NA
-118,"Phage","N","Infect","NL3",NA
-115,"Phage","N","Infect","NL3",NA
-112,"Phage","N","Infect","NL3",NA
-110,"Phage","N","Infect","NL3",NA
-108,"Phage","N","Infect","NL3",NA
-105,"Phage","N","Infect","NL3",NA
-103,"Phage","N","Infect","NL3",NA
-101,"Phage","N","Infect","NL3",NA
-98,"Phage","N","Infect","NL3",NA
-96,"Phage","N","Infect","NL3",NA
-89,"Phage","N","Infect","NL3",NA
-74,"Phage","N","Infect","NL3",NA
-68,"Phage","N","Infect","NL3",NA
-62,"Phage","N","Infect","NL3",NA
-55,"Phage","N","Infect","NL3",NA
-48,"Phage","N","Infect","NL3",NA
-46,"Phage","N","Infect","NL3",NA
-45,"Phage","N","Infect","NL3",NA
-41,"Phage","N","Infect","NL3",NA
-39,"Phage","N","Infect","NL3",NA
-34,"Phage","N","Infect","NL3",NA
-32,"Phage","N","Infect","NL3",NA
-27,"Phage","N","Infect","NL3",NA
-24,"Phage","N","Infect","NL3",NA
-19,"Phage","N","Infect","NL3",NA
-17,"Phage","N","Infect","NL3",NA
-13,"Phage","N","Infect","NL3",NA
-11,"Phage","N","Infect","NL3",NA
-6,"Phage","N","Infect","NL3",NA
0,"Phage","N","Infect","NL3",NA
2,"Phage","N","Infect","NL3",2362909.89133333
4,"Phage","N","Infect","NL3",26620838.6228571
7,"Phage","N","Infect","NL3",99152651.4044445
9,"Phage","N","Infect","NL3",431590628.412667
11,"Phage","N","Infect","NL3",591334544.544545
14,"Phage","N","Infect","NL3",710579952.472
16,"Phage","N","Infect","NL3",851690718.424
18,"Phage","N","Infect","NL3",634056895.494286
21,"Phage","N","Infect","NL3",860706580.054286
23,"Phage","N","Infect","NL3",887928589.015
25,"Phage","N","Infect","NL3",257440613.2025
28,"Phage","N","Infect","NL3",443253050.7275
30,"Phage","N","Infect","NL3",940323547.475
32,"Phage","N","Infect","NL3",716400297.405
35,"Phage","N","Infect","NL3",719393448.3125
37,"Phage","N","Infect","NL3",461982470.2675
39,"Phage","N","Infect","NL3",488654112.0175
42,"Phage","N","Infect","NL3",421008901.508
44,"Phage","N","Infect","NL3",263089074.222
46,"Phage","N","Infect","NL3",350382394.154
49,"Phage","N","Infect","NL3",310766115.608
51,"Phage","N","Infect","NL3",173140444.178
53,"Phage","N","Infect","NL3",136392848.878
56,"Phage","N","Infect","NL3",168818791.495714
58,"Phage","N","Infect","NL3",127857923.518
60,"Phage","N","Infect","NL3",117544888.708
63,"Phage","N","Infect","NL3",82929049.0708333
65,"Phage","N","Infect","NL3",104695084.416
67,"Phage","N","Infect","NL3",74782203.1542857
70,"Phage","N","Infect","NL3",6282653.39
72,"Phage","N","Infect","NL3",79896384.62
74,"Phage","N","Infect","NL3",70753938.53125
77,"Phage","N","Infect","NL3",68501666.56125
79,"Phage","N","Infect","NL3",110851953.026389
81,"Phage","N","Infect","NL3",52024518.99125
84,"Phage","N","Infect","NL3",41150532.9857143
86,"Phage","N","Infect","NL3",45243007.1166667
88,"Phage","N","Infect","NL3",66935942.4066667
91,"Phage","N","Infect","NL3",97183559.8283333
93,"Phage","N","Infect","NL3",76004300.6016667
95,"Phage","N","Infect","NL3",84262631.1583333
98,"Phage","N","Infect","NL3",160128634.358333
100,"Phage","N","Infect","NL3",146476705.136667
102,"Phage","N","Infect","NL3",125155197.154
105,"Phage","N","Infect","NL3",156070593.458
107,"Phage","N","Infect","NL3",561906294.326
109,"Phage","N","Infect","NL3",583901508.2225
112,"Phage","N","Infect","NL3",307583299.6925
114,"Phage","N","Infect","NL3",240795533.073333
117,"Phage","N","Infect","NL3",536435864.293333
119,"Phage","N","Infect","NL3",276258938.215
121,"Phage","N","Infect","NL3",237436881.89
125,"Phage","N","Infect","NL3",222698330.226667
129,"Phage","N","Infect","NL3",184093598.39
131,"Phage","N","Infect","NL3",163072393.336667
135,"Phage","N","Infect","NL3",214795621.56
144,"Phage","N","Infect","NL3",392646080.103333
146,"Phage","N","Infect","NL3",214795621.56
149,"Phage","N","Infect","NL3",261895765.213333
156,"Phage","N","Infect","NL3",NA
158,"Phage","N","Infect","NL3",NA
160,"Phage","N","Infect","NL3",NA
166,"Phage","N","Infect","NL3",NA
-125,"Syn","N","Control","NL4",99710430.3
-124,"Syn","N","Control","NL4",53729414.5
-118,"Syn","N","Control","NL4",1383642.625
-115,"Syn","N","Control","NL4",1235727.555
-112,"Syn","N","Control","NL4",1640779.75
-110,"Syn","N","Control","NL4",2690715.52833333
-108,"Syn","N","Control","NL4",2403497.44125
-105,"Syn","N","Control","NL4",38949335.8166667
-103,"Syn","N","Control","NL4",36873463.725
-101,"Syn","N","Control","NL4",47763833.2
-98,"Syn","N","Control","NL4",111377109
-96,"Syn","N","Control","NL4",405688915.5
-89,"Syn","N","Control","NL4",508200916
-74,"Syn","N","Control","NL4",36954278.25
-68,"Syn","N","Control","NL4",12783388.5
-62,"Syn","N","Control","NL4",NA
-55,"Syn","N","Control","NL4",NA
-48,"Syn","N","Control","NL4",NA
-46,"Syn","N","Control","NL4",NA
-45,"Syn","N","Control","NL4",NA
-41,"Syn","N","Control","NL4",NA
-39,"Syn","N","Control","NL4",NA
-34,"Syn","N","Control","NL4",NA
-32,"Syn","N","Control","NL4",NA
-27,"Syn","N","Control","NL4",NA
-24,"Syn","N","Control","NL4",NA
