day,NmeanC,NseC,NmeanSI,NseSI,NmeanP,NseP,PmeanC,PseC,PmeanSI,PseSI,PmeanP,PseP
-125,85242181.4,14468248.9,104271961.3,16530814.15,NA,NA,81803890.7,7630850.3,84863414.33,5148583.432,NA,NA
-124,46127951.3,7601463.2,46470800.8,2356858.448,NA,NA,59783157.1,6063538.3,38356695.97,798701.7035,NA,NA
-118,1117493.456,266149.169,2011220.472,730281.2768,NA,NA,1621286.307,558452.857,118854.4933,73617.80475,NA,NA
-115,887784.291,347943.264,1336370.209,380413.5061,NA,NA,2254786.471,643761.1594,114870.9087,42729.36789,NA,NA
-112,1192136.69,448643.06,1557864.592,442315.7139,NA,NA,1224727.8,563640.4965,33631.90333,7974.392395,NA,NA
-110,2066272.306,624443.2227,2569352.247,483325.8981,NA,NA,694221.259,467058.976,47607.102,5576.670588,NA,NA
-108,2188787.942,214709.4994,6845684.13,4516307.163,NA,NA,467414.0701,254161.6811,29485.057,8401.490417,NA,NA
-105,33579659.6,5369676.217,41388465.12,12762546.19,NA,NA,1393634.239,508494.787,49827.46067,12326.80723,NA,NA
-103,29745867.51,7127596.213,39219533.88,18665383.18,NA,NA,13039203.21,11753713.49,139066.2877,40213.79768,NA,NA
-101,37169783.65,10594049.55,124584977.8,46469597.09,NA,NA,30929188.07,23103893.13,669351.0651,204000.1716,NA,NA
-98,85266670.65,26110438.35,138037739.2,44034674.88,NA,NA,74771067.89,61780990.12,1764760.66,643824.6817,NA,NA
-96,252729060,152959855.5,120780981,19118749.79,NA,NA,77748470.9,32942939.1,6210049.32,4660538.393,NA,NA
-89,270532744.8,237668171.3,122348293,29875774.26,NA,NA,103344635,979570,50121331.67,14069490.32,NA,NA
-74,29276898.38,7677379.875,48531163.03,29388039.47,NA,NA,98495763.5,5828441.5,28987108.92,4360286.339,NA,NA
-68,54953877,42170488.5,108245750.2,63412303.45,NA,NA,125629852.5,391828,60677831.03,28757866.5,NA,NA
-62,196648677.5,NA,137858151.3,10997185.16,NA,NA,143825365.3,7714113.75,175968322.2,87870564.78,NA,NA
-55,166330986,NA,136045946.8,36948928.67,NA,NA,109662861.5,685699,128806924.5,41306697.32,NA,NA
-48,159816845.5,NA,143653940.5,31769734.54,NA,NA,73810599.5,32619681,112340352.8,26260521.09,NA,NA
-46,149629317.5,NA,109679187.7,41797885.1,NA,NA,51109064.75,33574761.75,120242217.5,37724384.07,NA,NA
-45,123621734,NA,201024090.2,39595639.67,NA,NA,38913418.25,30342180.75,130576681,38683600.48,NA,NA
-41,76896245,NA,78218664.5,23700533.7,NA,NA,19297529,440806.5,121580963.2,42483330.27,NA,NA
-39,109222055,NA,88585780.33,6606612.858,NA,NA,21085244.25,857123.75,94104024.67,22771602.42,NA,NA
-34,111768937,NA,114674994.7,6936085.012,NA,NA,65704657.75,37639977.25,143360069.5,23141965.49,NA,NA
-32,27183067.5,NA,96030512.33,14619414.51,NA,NA,49786645.25,19419975.25,136241860.8,33075326.87,NA,NA
-27,62839415.5,NA,218591045.5,21396168.64,NA,NA,90046972.25,21477072.25,126086985.2,26236576.52,NA,NA
-24,138119370,NA,112879116.3,54253509.97,NA,NA,28603444,18366937.5,70137212,17287329.14,NA,NA
-19,84634848,NA,169204391.3,42565532.14,NA,NA,78806406.5,64651620,90806139,25860663.46,NA,NA
-17,91344902.5,NA,145221252.5,58472869.63,NA,NA,49713177.5,33158444.5,78267643,13743335.68,NA,NA
-13,100797753,NA,95459096.5,14094323.99,NA,NA,20815862.5,12146668,45517352.67,15364067.88,NA,NA
-11,41925596,NA,68194398.17,17798060.28,NA,NA,16187394.25,8154920.25,17452672.17,3507049.091,NA,NA
-6,49786645.25,NA,50668258.25,15725404.07,NA,NA,15477206,8767151.5,38505264.08,8391983.171,NA,NA
0,93622402.75,NA,27411633.83,5388605.825,NA,NA,30660541,21060755,67010751.08,26857854.2,NA,NA
2,20448523.75,NA,18379998.43,4396681.242,2254906.206,78542.65861,13469087.5,5510081.25,27878562.2,9509815.367,2081046.616,132735.1875
4,21746454,NA,20948648.66,13129109.57,30410751.91,1923388.273,13308274.76,6209657.492,16839896.71,4289610.876,39479674.58,14732276.76
7,21868900.25,NA,9772843.367,3680745.53,90063658.36,5379296.198,8367160.417,399991.0833,11935516.24,4449592.354,134365365.1,5404388.045
9,18053475.1,NA,5217842.867,599108.7753,384382481.1,89007658.47,15653528.6,1214666.8,13646498.51,1008037.931,246121958.7,18356756.15
11,27604282.6,NA,4133785.4,987300.3046,480495463.4,86985419.49,20676763.56,4690181.16,13885078.23,1779080.832,225866598,37996917.1
14,17305736.67,NA,2003570.496,406617.932,661290758.5,44534650.33,19398751.23,9426728.633,16271474.01,3158311.183,199920927.8,56804371.93
16,7751663.933,NA,582151.5247,54145.48634,738087112,84437304.32,22726024,9469176.667,13200522.06,2264439.317,190109535.4,61030797.26
18,5557427.133,NA,1139566.433,339778.5969,662980809.2,137874151.7,11379338.17,5632527.5,9450945.781,1901805.969,353771726.4,87079150.9
21,6752502.533,NA,886744.081,212686.0409,751022628.6,98352864.16,12767062.33,6909233.733,6849099.019,1146522.837,557007021.7,196996706
23,5211312.4,NA,235936.4314,122603.0407,738913138.7,187818449.7,16655955.23,11823409.9,8157532.437,3691601.749,275122730.2,73510977.29
25,4264394.733,NA,645046.845,256029.211,244302360,63782570.99,25024748.27,15438023.2,7669577.851,4313717.919,323609858.7,115524750.2
28,8587563.667,NA,1366826.673,552468.4986,460401928.5,186113427.3,23774163.9,18229797.7,8055063.763,2388661.141,383146112.4,72010235.16
30,9906717.933,NA,1003793.475,93251.308,738468611.4,247703673.8,17576751.03,8264305.567,8049302.51,2790199.898,240673952.9,106225630.5
32,36231029.07,NA,541013.8635,132090.8943,638064697.7,172890411.9,13580105.43,7173717.633,5942347.909,1623465.994,591274583.4,44817974.57
35,10370381.07,NA,514009.5014,113148.4847,603836090.8,167198064.1,15924542.97,8003086.9,6555772.225,1976409.924,408740250.3,84658299.12
37,15104969.4,NA,658649.1342,383173.4576,385859629,99910099.8,17978374.73,10220180.33,17492184.63,11136118.45,410916534.6,73707793.14
39,14249478.27,NA,427472.5446,175933.1969,395342879.4,130291014.4,14735998.03,4261129.5,2976322.976,1087699.112,342927266.2,108823304.2
42,17880417.73,NA,384059.2818,84239.01875,417776693.7,114941754.9,16277188.17,4261129.5,2976417.166,1450302.207,137459801.4,70158877.19
44,24450067.2,NA,238162.0929,36096.73926,239799791.8,74481489.71,28146311.33,3670122.267,3511457.705,2336023.114,113064313.4,45054074.45
46,23352948.8,NA,521588.6713,196803.0432,310062774.5,93671292.2,27160210.87,NA,2697286.81,1030732.566,271795519,108633852.9
49,25436167.67,NA,925894.1676,429484.0041,241077396.3,61667836.4,13602962.07,2370559.4,2194576.928,895157.8985,454183624.6,207847907.3
51,18415916,NA,1316329.421,589853.7239,191316674.1,92866414.51,19039575.57,11679739.63,3165759.718,1419760.952,317355252.3,99144199.21
53,14478044.6,NA,1172480.404,557901.4335,108796590.2,40875937.64,22324400.3,20365260.3,6958708.298,3719617.676,306254580.8,93461673.19
56,8372058.267,NA,2645822.756,1398569.777,196032333.3,77268185.27,60057436.7,58333393.5,3218188.856,1733281.327,278327826.8,152030104.6
58,10050388.2,NA,6381980.181,2927224.235,163395275.4,63881781.74,47395514.88,37317698.72,3445963.998,1280220.489,251232753.3,113282289.7
60,13385824.05,NA,8101084.715,3769359.76,103309476.2,10300866.07,18362039.65,12102587.35,2991770.042,2146267.682,271414870.5,128902446.6
63,8047167.55,NA,11704922.75,4821711.329,63122885.48,10876324.11,15759240.53,7603503.971,1326296.965,735600.9886,209931504.4,120648268.5
65,16189026.87,NA,7491710.545,3063474.725,98300664.15,16743343.41,28218472.99,23914242.41,3904566.02,1762417.76,172137929.1,28877208.98
67,5069274.75,NA,5916416.215,2067854.697,88329703.73,17776419.46,25555022.16,20347628.04,2490801.618,540542.1015,172137929.1,28877208.98
70,10530377.5,NA,6266262.644,3231714.891,21980819.68,8920301.96,6633648.04,4944869.36,1043895.097,336077.2637,250301362.6,56623361.72
72,14384985.45,NA,9850011.714,3284677.591,79659303.36,45101762.98,6297410.638,3809302.838,1161089.763,153853.6023,160052429.7,23266512.06
74,13273173.5,NA,13389089.28,5196640.372,59736151.45,30967102.19,15406187.18,14813547.33,1290606.798,441703.9797,109254947.3,32154769.66
77,15851891.53,NA,13353334.98,4174312.73,107390990,19465985.77,6995966.494,2273214.631,1136797.788,515911.5779,199400157.2,11487153.71
79,11801369.58,NA,22803981.45,1181178.484,138501868.6,22036200.95,5223863.141,2075157.822,1540904.425,979543.9909,102587036.9,23287769.77
81,13525412.78,NA,19632868.46,1656402.413,58449232.98,26154101.64,6061701.606,1998935.031,1434033.468,889308.3226,160350898,330483.3136
84,14610286.55,NA,17037112.92,1580708.401,47169238.08,21017224.61,13425278.95,3718284.458,2029925.947,721866.9807,157978299.2,43404635.15
86,14056829.5,NA,53695945.86,12252995.86,54871140.51,20833323.94,13821732.7,2219950.513,2687497.512,1649367.8,111138426.2,63094988.29
88,16057601.23,NA,58044420.35,5656382.829,52675316.46,25044072.6,7378883.128,2919662.806,3639153.883,2782343.789,260171986.9,53818367.65
91,7870844.95,NA,42130217.29,6224427.878,67585093.48,23854824.19,6559853.767,1981996.633,3839771.002,2519182.374,278051865.2,113213035.1
93,8318508.44,NA,38104184.59,3379668.497,67803923.24,15051040.15,5419402.999,2440421.788,3829955.438,3224033.307,269274260.9,123961518.9
95,9141347.24,NA,30550611.48,6784301.142,102754969.4,38749594.12,8815721.846,3944810.021,3130000.726,2374422.872,196805105.3,45277205.73
98,8428220.28,NA,62208681.26,12798407.2,143594098.1,9483573.001,8569400.806,4578877.519,3766446.65,2554294.059,334857523,60049851.91
100,8216633.16,NA,52872290.75,16835336.38,106788173.3,33088901.72,8241244.856,3754814.256,3415515.698,2306333.94,175433546.8,68940212.56
102,8818089.14,NA,45430279.78,16560427.97,92382664.31,22537955.68,10867716.92,3336048.081,3602277.974,2082798.944,215064313.7,40470945.44
105,7809132.04,NA,26157784.23,9221128.969,174038718.7,68866023.49,11747493.23,2515045.975,5135150.833,NA,196347736,NA
107,9972022.6,NA,23333357.4,10044301.44,404916352.4,115617431.4,11801369.58,3788486.975,3302456.993,1988764.134,322223067.5,53681296.41
109,13273173.5,NA,19548951.97,7455929.201,347442586.5,135630278.1,13560514.03,1147729.517,4918665.863,3762838.526,310586329,59605715.99
112,11202362.52,NA,15817878.68,6740271.128,214050791.3,47163027.03,16170251.78,6021906.575,4441329.565,3215180.234,144649203.8,52460108.04
114,11764635.7,NA,17491310.76,6660985.054,173624391,37766182.07,20065675.14,8087166.658,2050547.097,NA,127881631.6,NA
117,6724748.05,NA,31542698.21,12067578.62,345406698.2,98456996.57,22000325.89,1347725.058,15141444.13,11189579.46,181525218.1,40626898.32
119,9343138.66,NA,22404398.52,8610662.836,199720765.7,38363942.76,25834934.29,8273693.113,12299471.32,8743305.102,141173658.3,23047524.67
121,8404710.6,NA,18865429.79,2979242.913,191407555.3,32051748.92,32891511.68,8186756.275,9806556.901,6314059.701,204222926.3,41741443.43
125,8046187.98,NA,14635211.16,4549756.979,194357899.8,28395767.32,20428932.35,NA,12560808.43,7053577.758,102124446.2,24303488.31
129,15443900.62,NA,13593492.89,5115306.88,146634759.3,31276760.46,16133517.9,2987688.5,10373782.35,6152797.393,68977851.8,9817829.557
131,7883089.575,NA,16741939.71,2727248.121,129470734.6,19020043.47,17591852.74,2925240.913,13760291.89,7130286.312,94084945.39,12354995.76
135,18707338.08,NA,20784570.68,9259061.877,150765900.3,37101753.87,18755092.11,3380740.963,13544242.29,9781696.312,183526296.8,13599638.38
144,11524641.05,NA,20075362,3949563.775,277965264.7,77305499.82,18777132.44,5930071.888,22936196.19,8876300.024,250273138.7,45969380
146,9347546.725,NA,16806155.97,1196654.56,230363957.6,33694002.61,25559430.23,12193197.58,72375762.68,42538823.36,442108098.8,163094737.8
149,10586702.78,NA,22354875.81,7924313.042,265804971.8,63897610.68,24845568.59,10320994.41,23868855.67,11228324.18,396739024.6,97441396.7
156,21106672.34,NA,53218768.29,34098650.99,NA,NA,24080245.51,9279555.043,30322169.86,8986217.199,NA,NA
158,2234644.063,NA,18052035.22,5264775.025,NA,NA,15938420.21,3951442.526,29198612.14,6002759.495,NA,NA
160,10770168.07,NA,19988074.83,NA,NA,NA,26320841.82,16106783.8,66130328.53,18526038.77,NA,NA
166,22299911.05,NA,73452512.24,54288867.79,NA,NA,28543853.49,14237233.64,68507860.57,26839473.83,NA,NA
